 ZONE T="dp=0kPa"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE ) 
 1.050000000E-001 -2.014388569E-001
 1.050100000E-001 -2.022440839E-001
 1.050200000E-001 -2.009557208E-001
 1.050300000E-001 -2.033714017E-001
 1.050400000E-001 -2.038545379E-001
 1.050500000E-001 -2.007946754E-001
 1.050600000E-001 -2.020830385E-001
 1.050700000E-001 -2.082027635E-001
 1.050800000E-001 -2.038545379E-001
 1.050900000E-001 -2.062702188E-001
 1.051000000E-001 -2.096521721E-001
 1.051100000E-001 -2.073975366E-001
 1.051200000E-001 -2.093300813E-001
 1.051300000E-001 -2.086858997E-001
 1.051400000E-001 -2.038545379E-001
 1.051500000E-001 -2.085248543E-001
 1.051600000E-001 -2.114236715E-001
 1.051700000E-001 -2.061091734E-001
 1.051800000E-001 -2.083638089E-001
 1.051900000E-001 -2.090079905E-001
 1.052000000E-001 -2.120678530E-001
 1.052100000E-001 -2.099742629E-001
 1.052200000E-001 -2.146445794E-001
 1.052300000E-001 -2.082027635E-001
 1.052400000E-001 -2.098132175E-001
 1.052500000E-001 -2.093300813E-001
 1.052600000E-001 -2.180265327E-001
 1.052700000E-001 -2.127120346E-001
 1.052800000E-001 -2.106184445E-001
 1.052900000E-001 -2.128730800E-001
 1.053000000E-001 -2.140003978E-001
 1.053100000E-001 -2.136783070E-001
 1.053200000E-001 -2.173823511E-001
 1.053300000E-001 -2.151277156E-001
 1.053400000E-001 -2.151277156E-001
 1.053500000E-001 -2.168992149E-001
 1.053600000E-001 -2.144835340E-001
 1.053700000E-001 -2.160939879E-001
 1.053800000E-001 -2.167381695E-001
 1.053900000E-001 -2.146445794E-001
 1.054000000E-001 -2.173823511E-001
 1.054100000E-001 -2.138393524E-001
 1.054200000E-001 -2.185096689E-001
 1.054300000E-001 -2.156108518E-001
 1.054400000E-001 -2.178654873E-001
 1.054500000E-001 -2.210863952E-001
 1.054600000E-001 -2.143224886E-001
 1.054700000E-001 -2.151277156E-001
 1.054800000E-001 -2.236631216E-001
 1.054900000E-001 -2.152887610E-001
 1.055000000E-001 -2.193148959E-001
 1.055100000E-001 -2.218916222E-001
 1.055200000E-001 -2.231799854E-001
 1.055300000E-001 -2.188317597E-001
 1.055400000E-001 -2.189928051E-001
 1.055500000E-001 -2.199590774E-001
 1.055600000E-001 -2.235020762E-001
 1.055700000E-001 -2.197980321E-001
 1.055800000E-001 -2.223747584E-001
 1.055900000E-001 -2.183486235E-001
 1.056000000E-001 -2.214084860E-001
 1.056100000E-001 -2.214084860E-001
 1.056200000E-001 -2.215695314E-001
 1.056300000E-001 -2.186707143E-001
 1.056400000E-001 -2.264008933E-001
 1.056500000E-001 -2.178654873E-001
 1.056600000E-001 -2.214084860E-001
 1.056700000E-001 -2.225358038E-001
 1.056800000E-001 -2.254346209E-001
 1.056900000E-001 -2.228578946E-001
 1.057000000E-001 -2.244683485E-001
 1.057100000E-001 -2.215695314E-001
 1.057200000E-001 -2.204422136E-001
 1.057300000E-001 -2.239852124E-001
 1.057400000E-001 -2.251125301E-001
 1.057500000E-001 -2.222137130E-001
 1.057600000E-001 -2.228578946E-001
 1.057700000E-001 -2.252735755E-001
 1.057800000E-001 -2.259177571E-001
 1.057900000E-001 -2.252735755E-001
 1.058000000E-001 -2.272061203E-001
 1.058100000E-001 -2.235020762E-001
 1.058200000E-001 -2.272061203E-001
 1.058300000E-001 -2.255956663E-001
 1.058400000E-001 -2.264008933E-001
 1.058500000E-001 -2.259177571E-001
 1.058600000E-001 -2.283334381E-001
 1.058700000E-001 -2.241462578E-001
 1.058800000E-001 -2.223747584E-001
 1.058900000E-001 -2.257567117E-001
 1.059000000E-001 -2.241462578E-001
 1.059100000E-001 -2.236631216E-001
 1.059200000E-001 -2.299438920E-001
 1.059300000E-001 -2.236631216E-001
 1.059400000E-001 -2.278503019E-001
 1.059500000E-001 -2.278503019E-001
 1.059600000E-001 -2.255956663E-001
 1.059700000E-001 -2.252735755E-001
 1.059800000E-001 -2.276892565E-001
 1.059900000E-001 -2.252735755E-001
 1.060000000E-001 -2.249514847E-001
 1.060100000E-001 -2.262398479E-001
 1.060200000E-001 -2.241462578E-001
 1.060300000E-001 -2.204422136E-001
 1.060400000E-001 -2.214084860E-001
 1.060500000E-001 -2.231799854E-001
 1.060600000E-001 -2.246293939E-001
 1.060700000E-001 -2.273671657E-001
 1.060800000E-001 -2.280113473E-001
 1.060900000E-001 -2.255956663E-001
 1.061000000E-001 -2.230189400E-001
 1.061100000E-001 -2.210863952E-001
 1.061200000E-001 -2.238241670E-001
 1.061300000E-001 -2.260788025E-001
 1.061400000E-001 -2.239852124E-001
 1.061500000E-001 -2.230189400E-001
 1.061600000E-001 -2.244683485E-001
 1.061700000E-001 -2.268840295E-001
 1.061800000E-001 -2.243073031E-001
 1.061900000E-001 -2.228578946E-001
 1.062000000E-001 -2.247904393E-001
 1.062100000E-001 -2.236631216E-001
 1.062200000E-001 -2.238241670E-001
 1.062300000E-001 -2.215695314E-001
 1.062400000E-001 -2.226968492E-001
 1.062500000E-001 -2.212474406E-001
 1.062600000E-001 -2.212474406E-001
 1.062700000E-001 -2.217305768E-001
 1.062800000E-001 -2.217305768E-001
 1.062900000E-001 -2.235020762E-001
 1.063000000E-001 -2.225358038E-001
 1.063100000E-001 -2.199590774E-001
 1.063200000E-001 -2.186707143E-001
 1.063300000E-001 -2.273671657E-001
 1.063400000E-001 -2.165771241E-001
 1.063500000E-001 -2.225358038E-001
 1.063600000E-001 -2.191538505E-001
 1.063700000E-001 -2.191538505E-001
 1.063800000E-001 -2.202811682E-001
 1.063900000E-001 -2.183486235E-001
 1.064000000E-001 -2.210863952E-001
 1.064100000E-001 -2.207643044E-001
 1.064200000E-001 -2.140003978E-001
 1.064300000E-001 -2.193148959E-001
 1.064400000E-001 -2.188317597E-001
 1.064500000E-001 -2.188317597E-001
 1.064600000E-001 -2.136783070E-001
 1.064700000E-001 -2.164160787E-001
 1.064800000E-001 -2.151277156E-001
 1.064900000E-001 -2.159329425E-001
 1.065000000E-001 -2.143224886E-001
 1.065100000E-001 -2.151277156E-001
 1.065200000E-001 -2.148056248E-001
 1.065300000E-001 -2.115847169E-001
 1.065400000E-001 -2.154498064E-001
 1.065500000E-001 -2.143224886E-001
 1.065600000E-001 -2.130341254E-001
 1.065700000E-001 -2.111015807E-001
 1.065800000E-001 -2.167381695E-001
 1.065900000E-001 -2.164160787E-001
 1.066000000E-001 -2.140003978E-001
 1.066100000E-001 -2.130341254E-001
 1.066200000E-001 -2.091690359E-001
 1.066300000E-001 -2.086858997E-001
 1.066400000E-001 -2.160939879E-001
 1.066500000E-001 -2.115847169E-001
 1.066600000E-001 -2.096521721E-001
 1.066700000E-001 -2.080417182E-001
 1.066800000E-001 -2.077196274E-001
 1.066900000E-001 -2.098132175E-001
 1.067000000E-001 -2.044987195E-001
 1.067100000E-001 -2.048208102E-001
 1.067200000E-001 -2.046597648E-001
 1.067300000E-001 -2.069144004E-001
 1.067400000E-001 -2.082027635E-001
 1.067500000E-001 -2.090079905E-001
 1.067600000E-001 -2.038545379E-001
 1.067700000E-001 -2.073975366E-001
 1.067800000E-001 -2.049818556E-001
 1.067900000E-001 -2.101353083E-001
 1.068000000E-001 -2.054649918E-001
 1.068100000E-001 -2.027272201E-001
 1.068200000E-001 -2.044987195E-001
 1.068300000E-001 -2.053039464E-001
 1.068400000E-001 -2.007946754E-001
 1.068500000E-001 -2.025661747E-001
 1.068600000E-001 -2.003115392E-001
 1.068700000E-001 -1.993452668E-001
 1.068800000E-001 -2.025661747E-001
 1.068900000E-001 -1.964464497E-001
 1.069000000E-001 -2.036934925E-001
 1.069100000E-001 -1.959633135E-001
 1.069200000E-001 -1.969295859E-001
