TITLE     = "Versuch_10 | Versuch_10"
VARIABLES = "Time [s]"
"Kalibrator [Pa]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Cavity Pressure [Pa]"
ZONE T="Referenz_01"
 STRANDID=0, SOLUTIONTIME=0
 I=9, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE SINGLE SINGLE DOUBLE )
 PASSIVEVARLIST=[3-4]
 4.000400450E-001 8.724320000E+003 -1.596000000E+003
 4.500450506E-001 8.724290000E+003 -1.596000000E+003
 5.000500563E-001 8.724320000E+003 -1.596000000E+003
 5.500550619E-001 8.724360000E+003 -1.596000000E+003
 6.000600675E-001 8.724420000E+003 -1.596000000E+003
 6.500650732E-001 8.724400000E+003 -1.596000000E+003
 7.000700788E-001 8.724460000E+003 -1.596000000E+003
 7.500750844E-001 8.724590000E+003 -1.596000000E+003
 8.000800900E-001 8.724630000E+003 -1.596000000E+003
ZONE T="Sensoren_01"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE SINGLE DOUBLE DOUBLE DOUBLE )
 PASSIVEVARLIST=[2]
 4.025100000E-001 3.251611098E+000 -6.202696260E+001 8.709703462E+003
 4.025200000E-001 3.250805871E+000 -6.202374165E+001 8.714851790E+003
 4.025300000E-001 3.253704690E+000 -6.202696260E+001 8.726098138E+003
 4.025400000E-001 3.251772144E+000 -6.202052069E+001 8.716651206E+003
 4.025500000E-001 3.249356461E+000 -6.202374165E+001 8.722699242E+003
 4.025600000E-001 3.252899463E+000 -6.203018355E+001 8.729846921E+003
 4.025700000E-001 3.251127962E+000 -6.202052069E+001 8.723548966E+003
 4.025800000E-001 3.251772144E+000 -6.203018355E+001 8.722999145E+003
 4.025900000E-001 3.254026781E+000 -6.202374165E+001 8.723099112E+003
 4.026000000E-001 3.254348873E+000 -6.202374165E+001 8.714301969E+003
 4.026100000E-001 3.255798282E+000 -6.202696260E+001 8.713802131E+003
 4.026200000E-001 3.253865736E+000 -6.202374165E+001 8.716551238E+003
 4.026300000E-001 3.253865736E+000 -6.202374165E+001 8.728347408E+003
 4.026400000E-001 3.250966916E+000 -6.202374165E+001 8.718000768E+003
 4.026500000E-001 3.252577372E+000 -6.202696260E+001 8.721849518E+003
 4.026600000E-001 3.252416326E+000 -6.203018355E+001 8.727197781E+003
 4.026700000E-001 3.253221554E+000 -6.202374165E+001 8.730696645E+003
 4.026800000E-001 3.250966916E+000 -6.202696260E+001 8.732446077E+003
 4.026900000E-001 3.253060508E+000 -6.201729974E+001 8.718050751E+003
 4.027000000E-001 3.252577372E+000 -6.203018355E+001 8.709853413E+003
 4.027100000E-001 3.251289007E+000 -6.202696260E+001 8.715201677E+003
 4.027200000E-001 3.253060508E+000 -6.202052069E+001 8.720499956E+003
 4.027300000E-001 3.256603510E+000 -6.202052069E+001 8.719950135E+003
 4.027400000E-001 3.253543645E+000 -6.202374165E+001 8.727697619E+003
 4.027500000E-001 3.250644825E+000 -6.203018355E+001 8.713952082E+003
 4.027600000E-001 3.250966916E+000 -6.202696260E+001 8.719900151E+003
 4.027700000E-001 3.253543645E+000 -6.202374165E+001 8.730346759E+003
 4.027800000E-001 3.251450053E+000 -6.202696260E+001 8.723548966E+003
 4.027900000E-001 3.255154100E+000 -6.202374165E+001 8.714701839E+003
 4.028000000E-001 3.250966916E+000 -6.202374165E+001 8.719300346E+003
 4.028100000E-001 3.252416326E+000 -6.202374165E+001 8.725848219E+003
 4.028200000E-001 3.251933189E+000 -6.202374165E+001 8.730146824E+003
 4.028300000E-001 3.254187827E+000 -6.203018355E+001 8.732695996E+003
 4.028400000E-001 3.250483780E+000 -6.203018355E+001 8.720649907E+003
 4.028500000E-001 3.254348873E+000 -6.202374165E+001 8.722249388E+003
 4.028600000E-001 3.250644825E+000 -6.203018355E+001 8.724948512E+003
 4.028700000E-001 3.252899463E+000 -6.202696260E+001 8.720399989E+003
 4.028800000E-001 3.253221554E+000 -6.202696260E+001 8.714501904E+003
 4.028900000E-001 3.253865736E+000 -6.202696260E+001 8.722399339E+003
 4.029000000E-001 3.253221554E+000 -6.202374165E+001 8.717051076E+003
 4.029100000E-001 3.255154100E+000 -6.202696260E+001 8.718200703E+003
 4.029200000E-001 3.254993055E+000 -6.202374165E+001 8.722449323E+003
 4.029300000E-001 3.253865736E+000 -6.202052069E+001 8.720849843E+003
 4.029400000E-001 3.252094235E+000 -6.202696260E+001 8.724348706E+003
 4.029500000E-001 3.255798282E+000 -6.203018355E+001 8.726697943E+003
 4.029600000E-001 3.254670964E+000 -6.203018355E+001 8.719950135E+003
 4.029700000E-001 3.250805871E+000 -6.202696260E+001 8.724698593E+003
 4.029800000E-001 3.253704690E+000 -6.202696260E+001 8.723748901E+003
 4.029900000E-001 3.252899463E+000 -6.202696260E+001 8.720999794E+003
 4.030000000E-001 3.248229142E+000 -6.202696260E+001 8.720999794E+003
 4.030100000E-001 3.253543645E+000 -6.203340451E+001 8.723948836E+003
 4.030200000E-001 3.251933189E+000 -6.202696260E+001 8.721749550E+003
