TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.019900000E-001 3.272708064E+000 -5.705059024E+001 1.597409436E+004
 4.020000000E-001 3.268842971E+000 -5.705381119E+001 1.597354454E+004
 4.020100000E-001 3.269004017E+000 -5.704092738E+001 1.598334135E+004
 4.020200000E-001 3.270614472E+000 -5.705059024E+001 1.597389442E+004
 4.020300000E-001 3.267876698E+000 -5.705703214E+001 1.597524398E+004
 4.020400000E-001 3.271741791E+000 -5.705703214E+001 1.598479088E+004
 4.020500000E-001 3.270775518E+000 -5.705381119E+001 1.597854291E+004
 4.020600000E-001 3.270614472E+000 -5.705059024E+001 1.597959257E+004
 4.020700000E-001 3.271580745E+000 -5.706025309E+001 1.596499731E+004
 4.020800000E-001 3.272708064E+000 -5.705703214E+001 1.597384444E+004
 4.020900000E-001 3.268198789E+000 -5.705703214E+001 1.598569059E+004
 4.021000000E-001 3.271902837E+000 -5.706025309E+001 1.596604697E+004
 4.021100000E-001 3.268520880E+000 -5.705059024E+001 1.597959257E+004
 4.021200000E-001 3.271097609E+000 -5.705059024E+001 1.597349455E+004
 4.021300000E-001 3.265944152E+000 -5.705059024E+001 1.597559387E+004
 4.021400000E-001 3.270292381E+000 -5.705381119E+001 1.597434428E+004
 4.021500000E-001 3.268198789E+000 -5.705381119E+001 1.597519400E+004
 4.021600000E-001 3.269165062E+000 -5.705059024E+001 1.597324463E+004
 4.021700000E-001 3.270292381E+000 -5.705059024E+001 1.598004243E+004
 4.021800000E-001 3.270131336E+000 -5.705703214E+001 1.596409760E+004
 4.021900000E-001 3.266749379E+000 -5.705381119E+001 1.598069221E+004
 4.022000000E-001 3.271097609E+000 -5.705381119E+001 1.597484411E+004
 4.022100000E-001 3.269648199E+000 -5.704736929E+001 1.597389442E+004
 4.022200000E-001 3.271258654E+000 -5.704414834E+001 1.597184509E+004
 4.022300000E-001 3.268037744E+000 -5.705059024E+001 1.597814304E+004
 4.022400000E-001 3.271419700E+000 -5.705381119E+001 1.596469741E+004
